Protéine	Fragment	Début	Fin
nettoyee_Q5S007	proteine_nettoyee_Q5S007	2106	2501
nettoyee_Q5T6F0	proteine_nettoyee_Q5T6F0	65	453
nettoyee_Q5TAQ9	proteine_nettoyee_Q5TAQ9	143	597
nettoyee_Q5VTH9	proteine_nettoyee_Q5VTH9	409	841
nettoyee_Q5VU92	proteine_nettoyee_Q5VU92	52	463
nettoyee_Q5VW00	proteine_nettoyee_Q5VW00	77	463
nettoyee_Q5XUX1	proteine_nettoyee_Q5XUX1	24	458
nettoyee_Q5XX13	proteine_nettoyee_Q5XX13	330	684
nettoyee_Q64LD2	proteine_nettoyee_Q64LD2	173	544
nettoyee_Q66LE6	proteine_nettoyee_Q66LE6	14	452
nettoyee_Q676U5	proteine_nettoyee_Q676U5	307	607
nettoyee_Q6P4I2	proteine_nettoyee_Q6P4I2	4	373
nettoyee_Q6PCD5	proteine_nettoyee_Q6PCD5	432	774
nettoyee_Q6QEF8	proteine_nettoyee_Q6QEF8	14	407
nettoyee_Q6RFH5	proteine_nettoyee_Q6RFH5	2	325
nettoyee_Q6UXN9	proteine_nettoyee_Q6UXN9	1	310
nettoyee_Q6X9E4	proteine_nettoyee_Q6X9E4	47	463
nettoyee_Q6ZMY6	proteine_nettoyee_Q6ZMY6	34	401
nettoyee_Q7Z4S6	proteine_nettoyee_Q7Z4S6	1291	1655
nettoyee_Q7Z5U6	proteine_nettoyee_Q7Z5U6	1	358
nettoyee_Q86TI4	proteine_nettoyee_Q86TI4	7	353
nettoyee_Q86VZ2	proteine_nettoyee_Q86VZ2	28	330
nettoyee_Q86W42	proteine_nettoyee_Q86W42	18	341
nettoyee_Q86Y33	proteine_nettoyee_Q86Y33	66	519
nettoyee_Q8IV35	proteine_nettoyee_Q8IV35	74	519
nettoyee_Q8IWB7	proteine_nettoyee_Q8IWB7	10	402
nettoyee_Q8N0X2	proteine_nettoyee_Q8N0X2	314	631
nettoyee_Q8N136	proteine_nettoyee_Q8N136	11	415
nettoyee_Q8N3P4	proteine_nettoyee_Q8N3P4	38	535
nettoyee_Q8N3Y1	proteine_nettoyee_Q8N3Y1	199	561
nettoyee_Q8N9V3	proteine_nettoyee_Q8N9V3	1	319
nettoyee_Q8NA23	proteine_nettoyee_Q8NA23	54	367
nettoyee_Q8NA75	proteine_nettoyee_Q8NA75	1	394
nettoyee_Q8NAA4	proteine_nettoyee_Q8NAA4	311	619
nettoyee_Q8NBT0	proteine_nettoyee_Q8NBT0	6	302
nettoyee_Q8NEZ3	proteine_nettoyee_Q8NEZ3	1	367
nettoyee_Q8NFH3	proteine_nettoyee_Q8NFH3	1	380
nettoyee_Q8NFH4	proteine_nettoyee_Q8NFH4	5	326
nettoyee_Q8NHV4	proteine_nettoyee_Q8NHV4	3	303
nettoyee_Q8NHY2	proteine_nettoyee_Q8NHY2	363	731
nettoyee_Q8TC44	proteine_nettoyee_Q8TC44	5	396
nettoyee_Q8TEB1	proteine_nettoyee_Q8TEB1	52	514
nettoyee_Q8TED0	proteine_nettoyee_Q8TED0	23	320
nettoyee_Q8WV16	proteine_nettoyee_Q8WV16	98	494
nettoyee_Q8WVS4	proteine_nettoyee_Q8WVS4	618	1058
nettoyee_Q92466	proteine_nettoyee_Q92466	87	421
nettoyee_Q92636	proteine_nettoyee_Q92636	610	917
nettoyee_Q92747	proteine_nettoyee_Q92747	1	370
nettoyee_Q92828	proteine_nettoyee_Q92828	15	407
nettoyee_Q969U6	proteine_nettoyee_Q969U6	51	544
nettoyee_Q96BP3	proteine_nettoyee_Q96BP3	67	471
nettoyee_Q96DI7	proteine_nettoyee_Q96DI7	14	357
nettoyee_Q96DN5	proteine_nettoyee_Q96DN5	1	342
nettoyee_Q96EE3	proteine_nettoyee_Q96EE3	1	326
nettoyee_Q96EX3	proteine_nettoyee_Q96EX3	144	533
nettoyee_Q96FK6	proteine_nettoyee_Q96FK6	1	369
nettoyee_Q96J01	proteine_nettoyee_Q96J01	35	351
nettoyee_Q96JK2	proteine_nettoyee_Q96JK2	13	448
nettoyee_Q96MX6	proteine_nettoyee_Q96MX6	5	355
nettoyee_Q96P53	proteine_nettoyee_Q96P53	11	400
nettoyee_Q96RY7	proteine_nettoyee_Q96RY7	4	406
nettoyee_Q96S15	proteine_nettoyee_Q96S15	18	388
nettoyee_Q99570	proteine_nettoyee_Q99570	968	1358
nettoyee_Q9BQ67	proteine_nettoyee_Q9BQ67	1	446
nettoyee_Q9BQA1	proteine_nettoyee_Q9BQA1	22	329
nettoyee_Q9BR76	proteine_nettoyee_Q9BR76	15	388
nettoyee_Q9BRP4	proteine_nettoyee_Q9BRP4	1	392
nettoyee_Q9BRX9	proteine_nettoyee_Q9BRX9	11	308
nettoyee_Q9BSC4	proteine_nettoyee_Q9BSC4	1	361
nettoyee_Q9BTV6	proteine_nettoyee_Q9BTV6	3	451
nettoyee_Q9BUR4	proteine_nettoyee_Q9BUR4	147	521
nettoyee_Q9BV38	proteine_nettoyee_Q9BV38	4	344
nettoyee_Q9BVC4	proteine_nettoyee_Q9BVC4	10	325
nettoyee_Q9BY44	proteine_nettoyee_Q9BY44	4	421
nettoyee_Q9BYB4	proteine_nettoyee_Q9BYB4	9	326
nettoyee_Q9BZK7	proteine_nettoyee_Q9BZK7	17	513
nettoyee_Q9C0J8	proteine_nettoyee_Q9C0J8	54	416
nettoyee_Q9GZL7	proteine_nettoyee_Q9GZL7	59	416
nettoyee_Q9GZS0	proteine_nettoyee_Q9GZS0	146	508
nettoyee_Q9GZS3	proteine_nettoyee_Q9GZS3	3	305
nettoyee_Q9H1Z4	proteine_nettoyee_Q9H1Z4	156	484
nettoyee_Q9H6R7	proteine_nettoyee_Q9H6R7	1	496
nettoyee_Q9H6Y2	proteine_nettoyee_Q9H6Y2	30	356
nettoyee_Q9H7D7	proteine_nettoyee_Q9H7D7	317	645
nettoyee_Q9H808	proteine_nettoyee_Q9H808	243	572
nettoyee_Q9H967	proteine_nettoyee_Q9H967	244	626
nettoyee_Q9H977	proteine_nettoyee_Q9H977	1	334
nettoyee_Q9HAD4	proteine_nettoyee_Q9HAD4	21	437
nettoyee_Q9HAV0	proteine_nettoyee_Q9HAV0	22	340
nettoyee_Q9HBG6	proteine_nettoyee_Q9HBG6	1	390
nettoyee_Q9HCU5	proteine_nettoyee_Q9HCU5	5	386
nettoyee_Q9NQW1	proteine_nettoyee_Q9NQW1	1	382
nettoyee_Q9NRG9	proteine_nettoyee_Q9NRG9	1	485
nettoyee_Q9NRJ4	proteine_nettoyee_Q9NRJ4	1	469
nettoyee_Q9NV06	proteine_nettoyee_Q9NV06	54	443
nettoyee_Q9NVX2	proteine_nettoyee_Q9NVX2	99	485
nettoyee_Q9NW82	proteine_nettoyee_Q9NW82	165	512
nettoyee_Q9NWT1	proteine_nettoyee_Q9NWT1	1	309
nettoyee_Q9NXC5	proteine_nettoyee_Q9NXC5	2	353
nettoyee_Q9NYS7	proteine_nettoyee_Q9NYS7	4	404
nettoyee_Q9P2S5	proteine_nettoyee_Q9P2S5	2	443
nettoyee_Q9UFC0	proteine_nettoyee_Q9UFC0	269	646
nettoyee_Q9UG01	proteine_nettoyee_Q9UG01	1	354
nettoyee_Q9UI46	proteine_nettoyee_Q9UI46	288	693
nettoyee_Q9UKB1	proteine_nettoyee_Q9UKB1	176	526
nettoyee_Q9UKT8	proteine_nettoyee_Q9UKT8	129	454
nettoyee_Q9ULV4	proteine_nettoyee_Q9ULV4	13	407
nettoyee_Q9UM11	proteine_nettoyee_Q9UM11	169	475
nettoyee_Q9UMS4	proteine_nettoyee_Q9UMS4	165	504
nettoyee_Q9UQ03	proteine_nettoyee_Q9UQ03	20	431
nettoyee_Q9Y297	proteine_nettoyee_Q9Y297	237	586
nettoyee_Q9Y2I8	proteine_nettoyee_Q9Y2I8	143	491
nettoyee_Q9Y2T4	proteine_nettoyee_Q9Y2T4	21	441
nettoyee_Q9Y3F4	proteine_nettoyee_Q9Y3F4	5	303
nettoyee_Q9Y484	proteine_nettoyee_Q9Y484	5	357
nettoyee_Q9Y4P3	proteine_nettoyee_Q9Y4P3	74	445
nettoyee_Q9Y4P8	proteine_nettoyee_Q9Y4P8	1	380
nettoyee_Q9Y597	proteine_nettoyee_Q9Y597	123	613
nettoyee_Q9Y5J1	proteine_nettoyee_Q9Y5J1	231	556
nettoyee_Q9Y6I7	proteine_nettoyee_Q9Y6I7	1	421
